date,open,high,low,close
"2022-09-09 13:41:00",17809,17811,17806,17809
"2022-09-09 13:42:00",17810,17814,17807,17809
"2022-09-09 13:43:00",17810,17812,17808,17808
"2022-09-09 13:44:00",17810,17820,17810,17819
"2022-09-09 13:45:00",17819,17829,17819,17828
"2022-09-09 13:46:00",17828,17834,17826,17831
"2022-09-09 13:47:00",17831,17834,17828,17828
"2022-09-09 13:48:00",17829,17832,17828,17831
"2022-09-09 13:49:00",17831,17839,17831,17837
"2022-09-09 13:50:00",17837,17841,17837,17840
"2022-09-09 13:51:00",17839,17848,17839,17847
"2022-09-09 13:52:00",17848,17850,17847,17847
"2022-09-09 13:53:00",17848,17850,17842,17842
"2022-09-09 13:54:00",17843,17845,17841,17842
"2022-09-09 13:55:00",17842,17846,17841,17843
"2022-09-09 13:56:00",17843,17844,17836,17840
"2022-09-09 13:57:00",17841,17846,17838,17846
"2022-09-09 13:58:00",17846,17847,17843,17847
"2022-09-09 13:59:00",17847,17849,17844,17849
"2022-09-09 14:00:00",17848,17854,17848,17852
"2022-09-09 14:01:00",17853,17855,17845,17845
"2022-09-09 14:02:00",17845,17846,17839,17840
"2022-09-09 14:03:00",17840,17842,17839,17842
"2022-09-09 14:04:00",17844,17847,17842,17845
"2022-09-09 14:05:00",17845,17847,17842,17845
"2022-09-09 14:06:00",17844,17849,17844,17848
"2022-09-09 14:07:00",17848,17848,17845,17847
"2022-09-09 14:08:00",17847,17848,17842,17845
"2022-09-09 14:09:00",17847,17847,17842,17842
"2022-09-09 14:10:00",17843,17844,17833,17837
"2022-09-09 14:11:00",17837,17838,17832,17833
"2022-09-09 14:12:00",17834,17844,17834,17842
"2022-09-09 14:13:00",17843,17846,17842,17846
"2022-09-09 14:14:00",17846,17848,17844,17847
"2022-09-09 14:15:00",17846,17850,17844,17844
"2022-09-09 14:16:00",17844,17846,17842,17846
"2022-09-09 14:17:00",17845,17850,17843,17847
"2022-09-09 14:18:00",17848,17858,17848,17857
"2022-09-09 14:19:00",17857,17859,17852,17854
"2022-09-09 14:20:00",17854,17856,17852,17855
"2022-09-09 14:21:00",17855,17862,17855,17861
"2022-09-09 14:22:00",17861,17862,17858,17859
"2022-09-09 14:23:00",17859,17861,17854,17860
"2022-09-09 14:24:00",17860,17862,17860,17860
"2022-09-09 14:25:00",17860,17862,17854,17855
"2022-09-09 14:26:00",17856,17861,17856,17860
"2022-09-09 14:27:00",17861,17861,17854,17856
"2022-09-09 14:28:00",17858,17859,17857,17858
"2022-09-09 14:29:00",17858,17859,17853,17856
"2022-09-09 14:30:00",17856,17858,17850,17850
"2022-09-09 14:31:00",17851,17852,17844,17845
"2022-09-09 14:32:00",17845,17848,17840,17841
"2022-09-09 14:33:00",17841,17841,17834,17837
"2022-09-09 14:34:00",17837,17843,17837,17842
"2022-09-09 14:35:00",17842,17850,17842,17849
"2022-09-09 14:36:00",17849,17852,17847,17847
"2022-09-09 14:37:00",17848,17852,17845,17851
"2022-09-09 14:38:00",17851,17853,17850,17851
"2022-09-09 14:39:00",17851,17856,17851,17856
"2022-09-09 14:40:00",17856,17861,17856,17859
"2022-09-09 14:41:00",17860,17863,17858,17858
"2022-09-09 14:42:00",17859,17860,17857,17857
"2022-09-09 14:43:00",17858,17858,17853,17853
"2022-09-09 14:44:00",17853,17859,17853,17858
"2022-09-09 14:45:00",17859,17860,17856,17856
"2022-09-09 14:46:00",17856,17857,17852,17853
"2022-09-09 14:47:00",17853,17862,17853,17862
"2022-09-09 14:48:00",17862,17863,17856,17858
"2022-09-09 14:49:00",17858,17859,17856,17856
"2022-09-09 14:50:00",17856,17862,17856,17861
"2022-09-09 14:51:00",17862,17868,17862,17866
"2022-09-09 14:52:00",17866,17868,17864,17865
"2022-09-09 14:53:00",17865,17866,17861,17864
"2022-09-09 14:54:00",17864,17864,17857,17857
"2022-09-09 14:55:00",17857,17860,17856,17858
"2022-09-09 14:56:00",17858,17858,17851,17851
"2022-09-09 14:57:00",17851,17855,17848,17854
"2022-09-09 14:58:00",17853,17860,17853,17859
"2022-09-09 14:59:00",17858,17862,17856,17857
"2022-09-09 15:00:00",17859,17867,17841,17844
"2022-09-09 15:01:00",17844,17851,17844,17850
"2022-09-09 15:02:00",17849,17852,17848,17849
"2022-09-09 15:03:00",17849,17850,17844,17845
"2022-09-09 15:04:00",17844,17851,17843,17850
"2022-09-09 15:05:00",17851,17856,17850,17850
"2022-09-09 15:06:00",17850,17853,17849,17852
"2022-09-09 15:07:00",17851,17855,17850,17852
"2022-09-09 15:08:00",17852,17853,17850,17852
"2022-09-09 15:09:00",17852,17853,17850,17851
"2022-09-09 15:10:00",17851,17854,17849,17849
"2022-09-09 15:11:00",17849,17852,17844,17844
"2022-09-09 15:12:00",17844,17845,17843,17844
"2022-09-09 15:13:00",17843,17844,17838,17838
"2022-09-09 15:14:00",17837,17843,17837,17839
"2022-09-09 15:15:00",17840,17840,17834,17836
"2022-09-09 15:16:00",17836,17836,17826,17827
"2022-09-09 15:17:00",17828,17828,17825,17827
"2022-09-09 15:18:00",17827,17827,17820,17823
"2022-09-09 15:19:00",17823,17824,17820,17823
"2022-09-09 15:20:00",17823,17824,17812,17812
"2022-09-09 15:21:00",17810,17817,17810,17814
"2022-09-09 15:22:00",17816,17818,17814,17816
"2022-09-09 15:23:00",17815,17817,17812,17814
"2022-09-09 15:24:00",17813,17814,17811,17814
"2022-09-09 15:25:00",17812,17818,17810,17817
"2022-09-09 15:26:00",17814,17822,17814,17822
"2022-09-09 15:27:00",17820,17828,17820,17828
"2022-09-09 15:28:00",17827,17830,17826,17826
"2022-09-09 15:29:00",17827,17833,17824,17829
"2022-09-09 15:30:00",17830,17830,17830,17830
