Date,Open,High,Low,Close
2022-08-25 10:20:00,17679,17699,17679,17694
2022-08-25 10:25:00,17695,17695,17683,17684
2022-08-25 10:30:00,17684,17692,17680,17687
2022-08-25 10:35:00,17688,17696,17686,17688
2022-08-25 10:40:00,17687,17691,17684,17686
2022-08-25 10:45:00,17686,17694,17677,17691
2022-08-25 10:50:00,17691,17694,17689,17693
2022-08-25 10:55:00,17693,17702,17692,17701
2022-08-25 11:00:00,17701,17702,17688,17692
2022-08-25 11:05:00,17692,17693,17679,17679
2022-08-25 11:10:00,17678,17686,17677,17677
2022-08-25 11:15:00,17677,17677,17667,17671
2022-08-25 11:20:00,17671,17671,17640,17649
2022-08-25 11:25:00,17646,17654,17642,17648
2022-08-25 11:30:00,17648,17654,17644,17654
2022-08-25 11:35:00,17654,17655,17643,17651
2022-08-25 11:40:00,17651,17678,17650,17674
2022-08-25 11:45:00,17674,17696,17674,17691
2022-08-25 11:50:00,17692,17694,17685,17688
2022-08-25 11:55:00,17688,17693,17687,17691
2022-08-25 12:00:00,17692,17701,17685,17699
2022-08-25 12:05:00,17699,17705,17695,17697
2022-08-25 12:10:00,17698,17699,17692,17696
2022-08-25 12:15:00,17697,17701,17693,17700
2022-08-25 12:20:00,17700,17708,17699,17704
2022-08-25 12:25:00,17704,17706,17694,17696
2022-08-25 12:30:00,17696,17701,17692,17696
2022-08-25 12:35:00,17696,17699,17693,17696
2022-08-25 12:40:00,17695,17700,17694,17696
2022-08-25 12:45:00,17695,17715,17695,17713
2022-08-25 12:50:00,17713,17717,17709,17716
2022-08-25 12:55:00,17716,17725,17714,17724
2022-08-25 13:00:00,17725,17726,17711,17712
2022-08-25 13:05:00,17712,17719,17703,17704
2022-08-25 13:10:00,17704,17716,17699,17713
2022-08-25 13:15:00,17712,17715,17701,17702
2022-08-25 13:20:00,17702,17708,17693,17705
2022-08-25 13:25:00,17706,17712,17703,17704
2022-08-25 13:30:00,17706,17710,17702,17707
2022-08-25 13:35:00,17707,17714,17706,17708
2022-08-25 13:40:00,17708,17709,17701,17703
2022-08-25 13:45:00,17704,17705,17692,17699
2022-08-25 13:50:00,17699,17704,17697,17701
2022-08-25 13:55:00,17702,17706,17694,17695
2022-08-25 14:00:00,17695,17700,17686,17696
2022-08-25 14:05:00,17695,17697,17684,17684
2022-08-25 14:10:00,17684,17696,17683,17693
2022-08-25 14:15:00,17693,17695,17683,17683
2022-08-25 14:20:00,17684,17685,17669,17679
